node_name,count,patient_list,DDTRequestTime,KSRequestTime,KSTimeCommunication,KSTimeExec,TaggingTimeCommunication,TaggingTimeExec,medco-connector-DDT,medco-connector-i2b2-PDO,medco-connector-i2b2-PSM,medco-connector-local-agg,medco-connector-local-patient-list-masking,medco-connector-overall,medco-connector-unlynx-key-switch-count,medco-connector-unlynx-key-switch-patient-list
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],38,43,37,0,24,7,40,75,3106,1,14,3296,12,45
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],33,38,32,0,19,8,34,76,3186,0,15,3364,10,40
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],32,46,40,0,20,6,33,70,3255,1,15,3436,11,47
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],36,43,37,0,22,8,37,74,3149,1,12,3332,12,44
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],30,45,39,0,17,7,31,75,3262,1,12,3443,11,47
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],33,46,40,0,19,7,34,84,3406,0,15,3602,12,48
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],32,45,39,0,18,8,33,68,3214,1,14,3390,11,47
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],38,46,40,0,24,8,39,74,3117,1,11,3303,11,48
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],29,44,38,0,18,5,30,67,3170,1,14,3341,10,46
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],36,44,38,0,25,6,38,58,3170,0,13,3340,12,46
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],33,44,38,0,18,8,34,58,3244,1,15,3411,10,46
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],39,46,40,0,24,7,40,76,3316,1,16,3511,11,48
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],37,45,39,0,23,8,38,69,3161,1,15,3345,11,46
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],30,43,36,0,17,7,31,59,3172,1,12,3336,12,45
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],25,47,41,0,15,4,27,76,3250,0,15,3431,11,49
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],43,44,38,0,30,7,44,74,3173,1,15,3368,11,46
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],33,38,33,0,21,6,35,72,3211,0,13,3385,11,40
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],31,39,33,0,20,5,32,67,3245,0,15,3414,11,41
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],30,46,40,0,19,5,31,68,3238,1,14,3415,11,48
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],29,38,32,0,19,4,30,69,3332,1,12,3497,11,40
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],36,46,39,0,21,8,37,65,3171,1,13,3349,12,48
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],39,40,34,0,25,8,40,66,3149,1,12,3326,12,42
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],36,43,37,0,22,7,37,67,3199,1,13,3376,11,45
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],32,45,39,0,19,8,34,56,3217,1,15,3383,11,47
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],32,44,38,0,21,5,33,66,3150,1,11,3322,12,46
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],36,46,40,0,23,7,37,59,3229,1,13,3401,11,48
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],29,44,38,0,16,8,31,56,3258,1,13,3418,11,45
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],36,45,39,0,23,8,37,56,3198,0,15,3368,12,47
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],36,42,36,0,23,7,38,60,3175,1,15,3346,11,44
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,12,[4062 4088 12036 12062 20010 20036 27984 28010 35958 35984 43932 43958],37,46,40,0,23,8,38,66,3282,1,12,3462,12,48
