node_name,count,patient_list,DDTRequestTime,KSRequestTime,KSTimeCommunication,KSTimeExec,TaggingTimeCommunication,TaggingTimeExec,medco-connector-DDT,medco-connector-i2b2-PDO,medco-connector-i2b2-PSM,medco-connector-local-agg,medco-connector-local-patient-list-masking,medco-connector-overall,medco-connector-unlynx-key-switch-count,medco-connector-unlynx-key-switch-patient-list
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],185,181,159,0,124,44,189,85,32374,2,54,32909,12,189
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],200,174,152,0,128,50,205,82,32823,2,51,33359,11,182
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],186,162,140,0,124,48,191,80,31910,2,53,32424,14,170
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],197,171,150,0,139,44,201,81,31627,2,51,32159,15,179
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],195,163,144,0,134,48,200,78,32593,4,50,33113,12,171
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],203,176,154,0,141,49,209,83,32866,3,53,33412,12,184
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],197,173,151,0,132,49,201,82,32620,2,53,33152,10,180
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],201,171,152,0,137,48,206,81,32682,2,53,33217,11,179
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],199,173,153,0,138,49,204,93,31354,2,53,31900,10,180
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],208,170,151,0,144,50,212,82,31817,2,54,32361,12,178
