node_name,count,patient_list,DDTRequestTime,KSRequestTime,KSTimeCommunication,KSTimeExec,TaggingTimeCommunication,TaggingTimeExec,medco-connector-DDT,medco-connector-i2b2-PDO,medco-connector-i2b2-PSM,medco-connector-local-agg,medco-connector-local-patient-list-masking,medco-connector-overall,medco-connector-unlynx-key-switch-count,medco-connector-unlynx-key-switch-patient-list
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,150,[54 63 75 163 178 630 644 650 696 999 1499 1505 1537 1932 3176 3284 4007 4938 4970 5124 5270 5278 5370 8028 8037 8049 8137 8152 8604 8618 8624 8670 8973 9473 9479 9511 9906 11150 11258 11981 12912 12944 13098 13244 13252 13344 16002 16011 16023 16111 16126 16578 16592 16598 16644 16947 17447 17453 17485 17880 19124 19232 19955 20886 20918 21072 21218 21226 21318 23976 23985 23997 24085 24100 24552 24566 24572 24618 24921 25421 25427 25459 25854 27098 27206 27929 28860 28892 29046 29192 29200 29292 31950 31959 31971 32059 32074 32526 32540 32546 32592 32895 33395 33401 33433 33828 35072 35180 35903 36834 36866 37020 37166 37174 37266 39924 39933 39945 40033 40048 40500 40514 40520 40566 40869 41369 41375 41407 41802 43046 43154 43877 44808 44840 44994 45140 45148 45240 47861 47863 47865 47897 48033 48037 48054 48134 49013 49283 49294 49415],108,278,236,0,76,23,110,107,84084,5,106,84735,31,290
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,150,[54 63 75 163 178 630 644 650 696 999 1499 1505 1537 1932 3176 3284 4007 4938 4970 5124 5270 5278 5370 8028 8037 8049 8137 8152 8604 8618 8624 8670 8973 9473 9479 9511 9906 11150 11258 11981 12912 12944 13098 13244 13252 13344 16002 16011 16023 16111 16126 16578 16592 16598 16644 16947 17447 17453 17485 17880 19124 19232 19955 20886 20918 21072 21218 21226 21318 23976 23985 23997 24085 24100 24552 24566 24572 24618 24921 25421 25427 25459 25854 27098 27206 27929 28860 28892 29046 29192 29200 29292 31950 31959 31971 32059 32074 32526 32540 32546 32592 32895 33395 33401 33433 33828 35072 35180 35903 36834 36866 37020 37166 37174 37266 39924 39933 39945 40033 40048 40500 40514 40520 40566 40869 41369 41375 41407 41802 43046 43154 43877 44808 44840 44994 45140 45148 45240 47861 47863 47865 47897 48033 48037 48054 48134 49013 49283 49294 49415],143,269,227,0,86,29,146,114,84428,5,100,85100,24,279
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,150,[54 63 75 163 178 630 644 650 696 999 1499 1505 1537 1932 3176 3284 4007 4938 4970 5124 5270 5278 5370 8028 8037 8049 8137 8152 8604 8618 8624 8670 8973 9473 9479 9511 9906 11150 11258 11981 12912 12944 13098 13244 13252 13344 16002 16011 16023 16111 16126 16578 16592 16598 16644 16947 17447 17453 17485 17880 19124 19232 19955 20886 20918 21072 21218 21226 21318 23976 23985 23997 24085 24100 24552 24566 24572 24618 24921 25421 25427 25459 25854 27098 27206 27929 28860 28892 29046 29192 29200 29292 31950 31959 31971 32059 32074 32526 32540 32546 32592 32895 33395 33401 33433 33828 35072 35180 35903 36834 36866 37020 37166 37174 37266 39924 39933 39945 40033 40048 40500 40514 40520 40566 40869 41369 41375 41407 41802 43046 43154 43877 44808 44840 44994 45140 45148 45240 47861 47863 47865 47897 48033 48037 48054 48134 49013 49283 49294 49415],115,264,221,0,79,25,118,109,86477,5,104,87103,11,276
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,150,[54 63 75 163 178 630 644 650 696 999 1499 1505 1537 1932 3176 3284 4007 4938 4970 5124 5270 5278 5370 8028 8037 8049 8137 8152 8604 8618 8624 8670 8973 9473 9479 9511 9906 11150 11258 11981 12912 12944 13098 13244 13252 13344 16002 16011 16023 16111 16126 16578 16592 16598 16644 16947 17447 17453 17485 17880 19124 19232 19955 20886 20918 21072 21218 21226 21318 23976 23985 23997 24085 24100 24552 24566 24572 24618 24921 25421 25427 25459 25854 27098 27206 27929 28860 28892 29046 29192 29200 29292 31950 31959 31971 32059 32074 32526 32540 32546 32592 32895 33395 33401 33433 33828 35072 35180 35903 36834 36866 37020 37166 37174 37266 39924 39933 39945 40033 40048 40500 40514 40520 40566 40869 41369 41375 41407 41802 43046 43154 43877 44808 44840 44994 45140 45148 45240 47861 47863 47865 47897 48033 48037 48054 48134 49013 49283 49294 49415],122,269,227,0,84,28,125,117,84747,5,106,85415,31,281
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,150,[54 63 75 163 178 630 644 650 696 999 1499 1505 1537 1932 3176 3284 4007 4938 4970 5124 5270 5278 5370 8028 8037 8049 8137 8152 8604 8618 8624 8670 8973 9473 9479 9511 9906 11150 11258 11981 12912 12944 13098 13244 13252 13344 16002 16011 16023 16111 16126 16578 16592 16598 16644 16947 17447 17453 17485 17880 19124 19232 19955 20886 20918 21072 21218 21226 21318 23976 23985 23997 24085 24100 24552 24566 24572 24618 24921 25421 25427 25459 25854 27098 27206 27929 28860 28892 29046 29192 29200 29292 31950 31959 31971 32059 32074 32526 32540 32546 32592 32895 33395 33401 33433 33828 35072 35180 35903 36834 36866 37020 37166 37174 37266 39924 39933 39945 40033 40048 40500 40514 40520 40566 40869 41369 41375 41407 41802 43046 43154 43877 44808 44840 44994 45140 45148 45240 47861 47863 47865 47897 48033 48037 48054 48134 49013 49283 49294 49415],105,251,222,0,74,22,108,134,85737,4,101,86367,20,260
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,150,[54 63 75 163 178 630 644 650 696 999 1499 1505 1537 1932 3176 3284 4007 4938 4970 5124 5270 5278 5370 8028 8037 8049 8137 8152 8604 8618 8624 8670 8973 9473 9479 9511 9906 11150 11258 11981 12912 12944 13098 13244 13252 13344 16002 16011 16023 16111 16126 16578 16592 16598 16644 16947 17447 17453 17485 17880 19124 19232 19955 20886 20918 21072 21218 21226 21318 23976 23985 23997 24085 24100 24552 24566 24572 24618 24921 25421 25427 25459 25854 27098 27206 27929 28860 28892 29046 29192 29200 29292 31950 31959 31971 32059 32074 32526 32540 32546 32592 32895 33395 33401 33433 33828 35072 35180 35903 36834 36866 37020 37166 37174 37266 39924 39933 39945 40033 40048 40500 40514 40520 40566 40869 41369 41375 41407 41802 43046 43154 43877 44808 44840 44994 45140 45148 45240 47861 47863 47865 47897 48033 48037 48054 48134 49013 49283 49294 49415],110,268,225,0,76,26,112,114,88030,5,105,88660,12,279
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,150,[54 63 75 163 178 630 644 650 696 999 1499 1505 1537 1932 3176 3284 4007 4938 4970 5124 5270 5278 5370 8028 8037 8049 8137 8152 8604 8618 8624 8670 8973 9473 9479 9511 9906 11150 11258 11981 12912 12944 13098 13244 13252 13344 16002 16011 16023 16111 16126 16578 16592 16598 16644 16947 17447 17453 17485 17880 19124 19232 19955 20886 20918 21072 21218 21226 21318 23976 23985 23997 24085 24100 24552 24566 24572 24618 24921 25421 25427 25459 25854 27098 27206 27929 28860 28892 29046 29192 29200 29292 31950 31959 31971 32059 32074 32526 32540 32546 32592 32895 33395 33401 33433 33828 35072 35180 35903 36834 36866 37020 37166 37174 37266 39924 39933 39945 40033 40048 40500 40514 40520 40566 40869 41369 41375 41407 41802 43046 43154 43877 44808 44840 44994 45140 45148 45240 47861 47863 47865 47897 48033 48037 48054 48134 49013 49283 49294 49415],124,277,234,0,86,29,127,109,83713,5,106,84381,27,290
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,150,[54 63 75 163 178 630 644 650 696 999 1499 1505 1537 1932 3176 3284 4007 4938 4970 5124 5270 5278 5370 8028 8037 8049 8137 8152 8604 8618 8624 8670 8973 9473 9479 9511 9906 11150 11258 11981 12912 12944 13098 13244 13252 13344 16002 16011 16023 16111 16126 16578 16592 16598 16644 16947 17447 17453 17485 17880 19124 19232 19955 20886 20918 21072 21218 21226 21318 23976 23985 23997 24085 24100 24552 24566 24572 24618 24921 25421 25427 25459 25854 27098 27206 27929 28860 28892 29046 29192 29200 29292 31950 31959 31971 32059 32074 32526 32540 32546 32592 32895 33395 33401 33433 33828 35072 35180 35903 36834 36866 37020 37166 37174 37266 39924 39933 39945 40033 40048 40500 40514 40520 40566 40869 41369 41375 41407 41802 43046 43154 43877 44808 44840 44994 45140 45148 45240 47861 47863 47865 47897 48033 48037 48054 48134 49013 49283 49294 49415],129,267,224,0,95,26,131,112,84164,5,105,84816,17,278
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,150,[54 63 75 163 178 630 644 650 696 999 1499 1505 1537 1932 3176 3284 4007 4938 4970 5124 5270 5278 5370 8028 8037 8049 8137 8152 8604 8618 8624 8670 8973 9473 9479 9511 9906 11150 11258 11981 12912 12944 13098 13244 13252 13344 16002 16011 16023 16111 16126 16578 16592 16598 16644 16947 17447 17453 17485 17880 19124 19232 19955 20886 20918 21072 21218 21226 21318 23976 23985 23997 24085 24100 24552 24566 24572 24618 24921 25421 25427 25459 25854 27098 27206 27929 28860 28892 29046 29192 29200 29292 31950 31959 31971 32059 32074 32526 32540 32546 32592 32895 33395 33401 33433 33828 35072 35180 35903 36834 36866 37020 37166 37174 37266 39924 39933 39945 40033 40048 40500 40514 40520 40566 40869 41369 41375 41407 41802 43046 43154 43877 44808 44840 44994 45140 45148 45240 47861 47863 47865 47897 48033 48037 48054 48134 49013 49283 49294 49415],112,265,221,0,77,27,115,126,86721,5,113,87371,11,277
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,150,[54 63 75 163 178 630 644 650 696 999 1499 1505 1537 1932 3176 3284 4007 4938 4970 5124 5270 5278 5370 8028 8037 8049 8137 8152 8604 8618 8624 8670 8973 9473 9479 9511 9906 11150 11258 11981 12912 12944 13098 13244 13252 13344 16002 16011 16023 16111 16126 16578 16592 16598 16644 16947 17447 17453 17485 17880 19124 19232 19955 20886 20918 21072 21218 21226 21318 23976 23985 23997 24085 24100 24552 24566 24572 24618 24921 25421 25427 25459 25854 27098 27206 27929 28860 28892 29046 29192 29200 29292 31950 31959 31971 32059 32074 32526 32540 32546 32592 32895 33395 33401 33433 33828 35072 35180 35903 36834 36866 37020 37166 37174 37266 39924 39933 39945 40033 40048 40500 40514 40520 40566 40869 41369 41375 41407 41802 43046 43154 43877 44808 44840 44994 45140 45148 45240 47861 47863 47865 47897 48033 48037 48054 48134 49013 49283 49294 49415],120,272,237,0,83,28,123,121,83645,9,102,84315,27,285
