node_name,count,patient_list,DDTRequestTime,KSRequestTime,KSTimeCommunication,KSTimeExec,TaggingTimeCommunication,TaggingTimeExec,medco-connector-DDT,medco-connector-i2b2-PDO,medco-connector-i2b2-PSM,medco-connector-local-agg,medco-connector-local-patient-list-masking,medco-connector-overall,medco-connector-unlynx-key-switch-count,medco-connector-unlynx-key-switch-patient-list
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],201,136,119,0,138,50,206,86,66159,2,41,66668,31,142
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],198,136,118,0,137,48,203,84,66576,4,41,67073,21,142
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],201,131,116,0,138,48,206,72,68224,1,40,68694,11,136
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],197,132,113,0,135,48,201,83,65242,2,41,65740,30,138
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],196,133,118,0,136,46,201,77,66092,2,38,66572,20,139
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],199,133,116,0,138,47,203,79,68171,3,40,68649,11,139
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],192,133,118,0,132,47,197,76,66059,3,41,66547,30,139
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],200,131,115,0,136,52,205,88,66637,2,41,67133,21,137
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],198,131,116,0,135,49,203,77,68352,2,38,68824,11,137
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],201,131,114,0,138,49,205,78,65724,4,39,66219,30,137
