node_name,count,patient_list,DDTRequestTime,KSRequestTime,KSTimeCommunication,KSTimeExec,TaggingTimeCommunication,TaggingTimeExec,medco-connector-DDT,medco-connector-i2b2-PDO,medco-connector-i2b2-PSM,medco-connector-local-agg,medco-connector-local-patient-list-masking,medco-connector-overall,medco-connector-unlynx-key-switch-count,medco-connector-unlynx-key-switch-patient-list
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],67,135,118,0,38,14,68,86,13390,3,41,13743,12,141
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],61,128,113,0,42,12,63,89,13636,3,39,13978,11,134
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],90,135,118,0,45,16,91,82,13790,1,41,14161,11,141
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],67,134,116,0,45,14,68,70,13817,2,40,14152,10,140
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],52,135,118,0,31,13,54,84,13411,4,41,13750,13,141
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],64,135,118,0,41,15,66,72,13497,3,37,13830,11,141
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],59,130,113,0,39,13,60,71,13368,3,40,13694,11,136
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],49,136,117,0,32,10,50,77,13527,3,41,13853,11,142
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],64,134,117,0,42,12,65,68,13610,3,40,13939,10,140
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,52,[50 91 142 613 764 1731 4927 5545 8024 8065 8116 8587 8738 9705 12901 13519 15998 16039 16090 16561 16712 17679 20875 21493 23972 24013 24064 24535 24686 25653 28849 29467 31946 31987 32038 32509 32660 33627 36823 37441 39920 39961 40012 40483 40634 41601 44797 45415 47859 47872 48028 49469],69,123,107,0,45,16,71,80,13407,4,41,13746,11,128
